dataproduct_type,calib_level,obs_collection,obs_id,obs_publisher_did,access_url,access_format,access_estsize,facility_name,instrument_name,target_name,s_ra,s_dec,s_fov,s_region,s_resolution,s_xel1,s_xel2,t_min,t_max,t_exptime,t_resolution,t_xel,em_min,em_max,em_res_power,em_xel,o_ucd,pol_xel,target_class,obs_creation_date,obs_creator_name,bib_reference,data_rights
sed,4,MAGIC/DL5,magic_2024k,ivo://magictelescope/dataset?magic/2024k/sed/1,link_to_thisfile_repository/2024k_FSRQ_UL/magic_2024k_fig4_sed_3C454.3.ecsv,ecsv,10,MAGIC,MAGIC-stereo,3C 454.3,343.490617,16.148212,3.5,3.1,360,-1,-1,55508.92,57261.2,124560,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260723,"Ilaria Viale, iviale@to.infn.it",https://doi.org/10.1093/mnras/stae2313,Public
sed,4,MAGIC/DL5,magic_2024k,ivo://magictelescope/dataset?magic/2024k/sed/2,link_to_thisfile_repository/2024k_FSRQ_UL/magic_2024k_fig4_sed_4C+55.17.ecsv,ecsv,10,MAGIC,MAGIC-stereo,4C +55.17,149.4091,55.38271,3.5,3.1,360,-1,-1,55512.24,57368.2,180000,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260723,"Ilaria Viale, iviale@to.infn.it",https://doi.org/10.1093/mnras/stae2313,Public
sed,4,MAGIC/DL5,magic_2024k,ivo://magictelescope/dataset?magic/2024k/sed/3,link_to_thisfile_repository/2024k_FSRQ_UL/magic_2024k_fig4_sed_AO0235+164.ecsv,ecsv,10,MAGIC,MAGIC-stereo,AO 0235+164,39.662209,16.616465,3.5,3.1,360,-1,-1,57385.85,57398.9,21960,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260723,"Ilaria Viale, iviale@to.infn.it",https://doi.org/10.1093/mnras/stae2313,Public
sed,4,MAGIC/DL5,magic_2024k,ivo://magictelescope/dataset?magic/2024k/sed/4,link_to_thisfile_repository/2024k_FSRQ_UL/magic_2024k_fig4_sed_B20234+28.ecsv,ecsv,10,MAGIC,MAGIC-stereo,B2 0234+28,39.468357,28.802497,3.5,3.1,360,-1,-1,58380.12,58480.93,92160,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260723,"Ilaria Viale, iviale@to.infn.it",https://doi.org/10.1093/mnras/stae2313,Public
sed,4,MAGIC/DL5,magic_2024k,ivo://magictelescope/dataset?magic/2024k/sed/5,link_to_thisfile_repository/2024k_FSRQ_UL/magic_2024k_fig4_sed_B22234+28A.ecsv,ecsv,10,MAGIC,MAGIC-stereo,B2 2234+28A,339.093629,28.482615,3.5,3.1,360,-1,-1,58352.16,58677.18,24120,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260723,"Ilaria Viale, iviale@to.infn.it",https://doi.org/10.1093/mnras/stae2313,Public
sed,4,MAGIC/DL5,magic_2024k,ivo://magictelescope/dataset?magic/2024k/sed/6,link_to_thisfile_repository/2024k_FSRQ_UL/magic_2024k_fig4_sed_CTA102.ecsv,ecsv,10,MAGIC,MAGIC-stereo,CTA 102,338.151704,11.730807,3.5,3.1,360,-1,-1,57715.9,58105.84,11520,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260723,"Ilaria Viale, iviale@to.infn.it",https://doi.org/10.1093/mnras/stae2313,Public
sed,4,MAGIC/DL5,magic_2024k,ivo://magictelescope/dataset?magic/2024k/sed/7,link_to_thisfile_repository/2024k_FSRQ_UL/magic_2024k_fig4_sed_OP313.ecsv,ecsv,10,MAGIC,MAGIC-stereo,OP 313,197.619433,32.345495,3.5,3.1,360,-1,-1,56775.01,58848.23,48960,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260723,"Ilaria Viale, iviale@to.infn.it",https://doi.org/10.1093/mnras/stae2313,Public
sed,4,MAGIC/DL5,magic_2024k,ivo://magictelescope/dataset?magic/2024k/sed/8,link_to_thisfile_repository/2024k_FSRQ_UL/magic_2024k_fig4_sed_TXS0025+197.ecsv,ecsv,10,MAGIC,MAGIC-stereo,TXS 0025+197,7.124244,20.007429,3.5,3.1,360,-1,-1,58728.07,58817.95,18000,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260723,"Ilaria Viale, iviale@to.infn.it",https://doi.org/10.1093/mnras/stae2313,Public
sed,4,MAGIC/DL5,magic_2024k,ivo://magictelescope/dataset?magic/2024k/sed/9,link_to_thisfile_repository/2024k_FSRQ_UL/magic_2024k_fig4_sed_TXS2241+406.ecsv,ecsv,10,MAGIC,MAGIC-stereo,TXS 2241+406,341.053047,40.953783,3.5,3.1,360,-1,-1,57994.05,58844.83,106200,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260723,"Ilaria Viale, iviale@to.infn.it",https://doi.org/10.1093/mnras/stae2313,Public
light-curve,4,MAGIC/DL5,magic_2024k,ivo://magictelescope/dataset?magic/2024k/light-curve/1,link_to_thisfile_repository/2024k_FSRQ_UL/magic_2024k_fig2_lc_magic.ecsv,ecsv,10,MAGIC,MAGIC-stereo,CTA 102,338.151704,11.730807,3.5,3.1,360,-1,-1,57715.9,58105.84,11520,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260723,"Ilaria Viale, iviale@to.infn.it",https://doi.org/10.1093/mnras/stae2313,Public
