# %ECSV 0.9
# ---
# delimiter: ','
# datatype:
# - {name: srcname   , unit: latex   , datatype: string    , description: Source name                                          }
# - {name: t         , unit: mjd     , datatype: float32 , description: Time of measurement                                  }
# - {name: t_wlo     , unit: d    , datatype: float32 , description: Lower width of time bin                                 }
# - {name: t_wup     , unit: d    , datatype: float32 , description: Upper width of time bin                                 }
# - {name: t_exp     , unit: s    , datatype: float32 , description: Exposure time                                           }
# - {name: flux     , unit: cm-2 s-1, datatype: float32 , description: Flux measured above the energy threshold              }
# - {name: flux_elo , unit: cm-2 s-1, datatype: float32 , description: Lower uncertainty of flux                             }
# - {name: flux_eup , unit: cm-2 s-1, datatype: float32 , description: Upper uncertainty of flux                             }
# - {name: eth_lo      , unit: keV,      datatype: float32 , description: Assumed lower energy threshold for integral flux calculation}
# - {name: eth_up      , unit: keV,      datatype: float32 , description: Assumed upper energy threshold for integral flux calculation}
# - {name: instrument, unit: latex   , datatype: string    , description: Instrument                                           }
# - {name: dataformat, unit: latex   , datatype: string    , description: Data Format                                          }
# - {name: comments  , unit: latex   , datatype: string    , description: Comments                                             }
# meta: !!omap
# - {Filename: magic_template_lc.ecsv}
# - {Source: "VER 0521+211"}
# - {Figure: "Figure 1, long term MWL light curve, panel 3"}
# - {Title: "Time-dependent modelling of short-term variability in the TeV-blazar VER J0521+211 during the major flare in 2020"}
# - {Comments: ""}
# - {Reference: "magic_2025a.yaml"}
# - {Status: "Checked"}

srcname, t, t_wlo, t_wup, t_exp, flux, flux_elo, flux_eup, eth_lo, eth_up, instrument, dataformat, comments
VER 0521+211, 55131.45113, , , 2122.7, 2.30E-12, 7.48E-13, 7.48E-13, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 55131.45113, , , 2122.7, 3.39E-12, 7.69E-13, 7.69E-13, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 55132.3709, , , 2579.7, 5.28E-12, 1.13E-12, 1.13E-12, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 55132.3709, , , 2579.7, 6.98E-12, 1.03E-12, 1.03E-12, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 55134.45517, , , 2377.4, 2.65E-12, 4.88E-13, 4.88E-13, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 55134.45517, , , 2377.4, 4.05E-12, 4.60E-13, 4.60E-13, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 55159.20875, , , 1261.1, 6.19E-12, 1.11E-12, 1.11E-12, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 55159.20875, , , 1261.1, 1.07E-11, 1.10E-12, 1.10E-12, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 55160.34727, , , 2497.3, 1.48E-11, 9.23E-13, 9.23E-13, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 55160.34727, , , 2497.3, 2.20E-11, 9.63E-13, 9.63E-13, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
