dataproduct_type,calib_level,obs_collection,obs_id,obs_publisher_did,access_url,access_format,access_estsize,facility_name,instrument_name,target_name,s_ra,s_dec,s_fov,s_region,s_resolution,s_xel1,s_xel2,t_min,t_max,t_exptime,t_resolution,t_xel,em_min,em_max,em_res_power,em_xel,o_ucd,pol_xel,target_class,obs_creation_date,obs_creator_name,bib_reference,data_rights
sed,4,MAGIC/DL5,magic_2026a,ivo://magictelescope/dataset?magic/2026a/sed/1,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026a_NToO/magic_2026a_fig4a_sed.ecsv,ecsv,10,MAGIC,MAGIC-stereo,MG1 J181841+0903,274.66692,9.06283,3.5,3.1,360,-1,-1,58630.0,58640.0,5760,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260721,"Ilaria Viale, iviale@to.infn.it; Stefano Marchesi, stefano.marchesi@unibo.it; Michele Doro, michele.doro@unipd.it",https://doi.org/10.3847/1538-4357/ae2c4e,Public
sed,4,MAGIC/DL5,magic_2026a,ivo://magictelescope/dataset?magic/2026a/sed/2,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026a_NToO/magic_2026a_fig4b_sed.ecsv,ecsv,10,MAGIC,MAGIC-stereo,PMN J2016-0903,304.100153,-9.059296,3.5,3.1,360,-1,-1,58816.0,58817.0,3239,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260721,"Ilaria Viale, iviale@to.infn.it; Stefano Marchesi, stefano.marchesi@unibo.it; Michele Doro, michele.doro@unipd.it",https://doi.org/10.3847/1538-4357/ae2c4e,Public
sed,4,MAGIC/DL5,magic_2026a,ivo://magictelescope/dataset?magic/2026a/sed/3,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026a_NToO/magic_2026a_fig4c_sed.ecsv,ecsv,10,MAGIC,MAGIC-stereo,OP 313,197.619433,32.345495,3.5,3.1,360,-1,-1,58949.0,59089.0,11520,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260721,"Ilaria Viale, iviale@to.infn.it; Stefano Marchesi, stefano.marchesi@unibo.it; Michele Doro, michele.doro@unipd.it",https://doi.org/10.3847/1538-4357/ae2c4e,Public
sed,4,MAGIC/DL5,magic_2026a,ivo://magictelescope/dataset?magic/2026a/sed/4,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026a_NToO/magic_2026a_fig4d_sed.ecsv,ecsv,10,MAGIC,MAGIC-stereo,OC 457,24.244145,47.858083,3.5,3.1,360,-1,-1,59065.0,59066.0,9000,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260721,"Ilaria Viale, iviale@to.infn.it; Stefano Marchesi, stefano.marchesi@unibo.it; Michele Doro, michele.doro@unipd.it",https://doi.org/10.3847/1538-4357/ae2c4e,Public
sed,4,MAGIC/DL5,magic_2026a,ivo://magictelescope/dataset?magic/2026a/sed/5,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026a_NToO/magic_2026a_fig4e_sed.ecsv,ecsv,10,MAGIC,MAGIC-stereo,GB6 J0316+0904,49.053053,9.078689,3.5,3.1,360,-1,-1,59229.0,59230.0,6839,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260721,"Ilaria Viale, iviale@to.infn.it; Stefano Marchesi, stefano.marchesi@unibo.it; Michele Doro, michele.doro@unipd.it",https://doi.org/10.3847/1538-4357/ae2c4e,Public
sed,4,MAGIC/DL5,magic_2026a,ivo://magictelescope/dataset?magic/2026a/sed/6,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026a_NToO/magic_2026a_fig4f_sed.ecsv,ecsv,10,MAGIC,MAGIC-stereo,PMN J0325-1843,51.477445,-18.736566,3.5,3.1,360,-1,-1,58745.0,58746.0,7200,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260721,"Ilaria Viale, iviale@to.infn.it; Stefano Marchesi, stefano.marchesi@unibo.it; Michele Doro, michele.doro@unipd.it",https://doi.org/10.3847/1538-4357/ae2c4e,Public
sed,4,MAGIC/DL5,magic_2026a,ivo://magictelescope/dataset?magic/2026a/sed/7,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026a_NToO/magic_2026a_fig5a_sed.ecsv,ecsv,10,MAGIC,MAGIC-stereo,EHE-171106A,340.0,7.4,3.5,3.1,360,-1,-1,58063.0,58064.0,16200,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260721,"Ilaria Viale, iviale@to.infn.it; Stefano Marchesi, stefano.marchesi@unibo.it; Michele Doro, michele.doro@unipd.it",https://doi.org/10.3847/1538-4357/ae2c4e,Public
sed,4,MAGIC/DL5,magic_2026a,ivo://magictelescope/dataset?magic/2026a/sed/8,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026a_NToO/magic_2026a_fig5c_sed.ecsv,ecsv,10,MAGIC,MAGIC-stereo,IceCube-190922B,4.8,-1.92,3.5,3.1,360,-1,-1,58748.0,58749.0,7920,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260721,"Ilaria Viale, iviale@to.infn.it; Stefano Marchesi, stefano.marchesi@unibo.it; Michele Doro, michele.doro@unipd.it",https://doi.org/10.3847/1538-4357/ae2c4e,Public
sed,4,MAGIC/DL5,magic_2026a,ivo://magictelescope/dataset?magic/2026a/sed/9,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026a_NToO/magic_2026a_fig5d_sed.ecsv,ecsv,10,MAGIC,MAGIC-stereo,IceCube-201114A,104.46,6.38,3.5,3.1,360,-1,-1,59167.0,59168.0,21600,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260721,"Ilaria Viale, iviale@to.infn.it; Stefano Marchesi, stefano.marchesi@unibo.it; Michele Doro, michele.doro@unipd.it",https://doi.org/10.3847/1538-4357/ae2c4e,Public
sed,4,MAGIC/DL5,magic_2026a,ivo://magictelescope/dataset?magic/2026a/sed/10,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026a_NToO/magic_2026a_fig5e_sed.ecsv,ecsv,10,MAGIC,MAGIC-stereo,GB6 J0316+0904,49.053053,9.078689,3.5,3.1,360,-1,-1,59229.0,59230.0,6839,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260721,"Ilaria Viale, iviale@to.infn.it; Stefano Marchesi, stefano.marchesi@unibo.it; Michele Doro, michele.doro@unipd.it",https://doi.org/10.3847/1538-4357/ae2c4e,Public
