dataproduct_type,calib_level,obs_collection,obs_id,obs_publisher_did,access_url,access_format,access_estsize,facility_name,instrument_name,target_name,s_ra,s_dec,s_fov,s_region,s_resolution,s_xel1,s_xel2,t_min,t_max,t_exptime,t_resolution,t_xel,em_min,em_max,em_res_power,em_xel,o_ucd,pol_xel,pol_states,proposal_id,target_class,obs_creation_date,obs_creator_name,bib_reference,data_rights
sed,4,MAGIC/DL5,magic_2026c,ivo://magictelescope/dataset?magic/2026c/sed/1,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026c_Mrk421/magic_2026c_fig4_sed_56393.ecsv,ecsv,10,MAGIC,MAGIC-stereo,Mrk421,166.113809,38.208833,3.5,3.1,360,-1,-1,56392.86671,56393.159,19826,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,0,,,NULL,2026-07-22T00:00:00,"Michele Doro, michele.doro@unipd.it",ApJ 998 (2026) 6,public
sed,4,MAGIC/DL5,magic_2026c,ivo://magictelescope/dataset?magic/2026c/sed/2,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026c_Mrk421/magic_2026c_fig4_sed_56394.ecsv,ecsv,10,MAGIC,MAGIC-stereo,Mrk421,166.113809,38.208833,3.5,3.1,360,-1,-1,56393.87723,56394.17139,21042,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,0,,,NULL,2026-07-22T00:00:00,"Michele Doro, michele.doro@unipd.it",ApJ 998 (2026) 6,public
sed,4,MAGIC/DL5,magic_2026c,ivo://magictelescope/dataset?magic/2026c/sed/3,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026c_Mrk421/magic_2026c_fig4_sed_56395.ecsv,ecsv,10,MAGIC,MAGIC-stereo,Mrk421,166.113809,38.208833,3.5,3.1,360,-1,-1,56394.89122,56395.16797,21625,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,0,,,NULL,2026-07-22T00:00:00,"Michele Doro, michele.doro@unipd.it",ApJ 998 (2026) 6,public
sed,4,MAGIC/DL5,magic_2026c,ivo://magictelescope/dataset?magic/2026c/sed/4,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026c_Mrk421/magic_2026c_fig4_sed_56396.ecsv,ecsv,10,MAGIC,MAGIC-stereo,Mrk421,166.113809,38.208833,3.5,3.1,360,-1,-1,56395.86719,56396.16099,22779,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,0,,,NULL,2026-07-22T00:00:00,"Michele Doro, michele.doro@unipd.it",ApJ 998 (2026) 6,public
sed,4,MAGIC/DL5,magic_2026c,ivo://magictelescope/dataset?magic/2026c/sed/5,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026c_Mrk421/magic_2026c_fig4_sed_56397.ecsv,ecsv,10,MAGIC,MAGIC-stereo,Mrk421,166.113809,38.208833,3.5,3.1,360,-1,-1,56396.89303,56397.39011,21979,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,0,,,NULL,2026-07-22T00:00:00,"Michele Doro, michele.doro@unipd.it",ApJ 998 (2026) 6,public
sed,4,MAGIC/DL5,magic_2026c,ivo://magictelescope/dataset?magic/2026c/sed/6,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026c_Mrk421/magic_2026c_fig4_sed_56398.ecsv,ecsv,10,MAGIC,MAGIC-stereo,Mrk421,166.113809,38.208833,3.5,3.1,360,-1,-1,56397.92542,56398.1158,14367,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,0,,,NULL,2026-07-22T00:00:00,"Michele Doro, michele.doro@unipd.it",ApJ 998 (2026) 6,public
sed,4,MAGIC/DL5,magic_2026c,ivo://magictelescope/dataset?magic/2026c/sed/7,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026c_Mrk421/magic_2026c_fig4_sed_56399.ecsv,ecsv,10,MAGIC,MAGIC-stereo,Mrk421,166.113809,38.208833,3.5,3.1,360,-1,-1,56398.92335,56399.1147,8590,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,0,,,NULL,2026-07-22T00:00:00,"Michele Doro, michele.doro@unipd.it",ApJ 998 (2026) 6,public
sed,4,MAGIC/DL5,magic_2026c,ivo://magictelescope/dataset?magic/2026c/sed/8,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026c_Mrk421/magic_2026c_fig4_sed_56400.ecsv,ecsv,10,MAGIC,MAGIC-stereo,Mrk421,166.113809,38.208833,3.5,3.1,360,-1,-1,56399.93784,56400.11135,13542,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,0,,,NULL,2026-07-22T00:00:00,"Michele Doro, michele.doro@unipd.it",ApJ 998 (2026) 6,public
sed,4,MAGIC/DL5,magic_2026c,ivo://magictelescope/dataset?magic/2026c/sed/9,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026c_Mrk421/magic_2026c_fig4_sed_56401.ecsv,ecsv,10,MAGIC,MAGIC-stereo,Mrk421,166.113809,38.208833,3.5,3.1,360,-1,-1,56401.03381,56401.14317,7915,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,0,,,NULL,2026-07-22T00:00:00,"Michele Doro, michele.doro@unipd.it",ApJ 998 (2026) 6,public
timeseries,4,MAGIC/DL5,magic_2026c,ivo://magictelescope/dataset?magic/2026c/timeseries/1,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026c_Mrk421/magic_2026c_fig17_lc.ecsv,ecsv,10,MAGIC,MAGIC-stereo,Mrk421,166.113809,38.208833,3.5,3.1,360,-1,-1,56392.86671000007,56401.15234000002,152368,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,0,,,NULL,2026-07-22T00:00:00,"Michele Doro, michele.doro@unipd.it",ApJ 998 (2026) 6,public
