dataproduct_type,calib_level,obs_collection,obs_id,obs_publisher_did,access_url,access_format,access_estsize,facility_name,instrument_name,target_name,s_ra,s_dec,s_fov,s_region,s_resolution,s_xel1,s_xel2,t_min,t_max,t_exptime,t_resolution,t_xel,em_min,em_max,em_res_power,em_xel,o_ucd,pol_xel,target_class,obs_creation_date,obs_creator_name,bib_reference,data_rights
sed,4,MAGIC/DL5,magic_2026g,ivo://magictelescope/dataset?magic/2026g/sed/1,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026g_mrk421/magic_2026g_fig6_sed_01.ecsv,ecsv,10,MAGIC,MAGIC-stereo,Mrk 421,166.113809,38.208833,3.5,3.1,360,-1,-1,55204.155265,55204.21543,5198,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260722,"Michele Doro, michele.doro@unipd.it",https://doi.org/10.1051/0004-6361/202659090,Public
sed,4,MAGIC/DL5,magic_2026g,ivo://magictelescope/dataset?magic/2026g/sed/2,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026g_mrk421/magic_2026g_fig6_sed_02.ecsv,ecsv,10,MAGIC,MAGIC-stereo,Mrk 421,166.113809,38.208833,3.5,3.1,360,-1,-1,55207.142053,55207.18644,3835,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260722,"Michele Doro, michele.doro@unipd.it",https://doi.org/10.1051/0004-6361/202659090,Public
sed,4,MAGIC/DL5,magic_2026g,ivo://magictelescope/dataset?magic/2026g/sed/3,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026g_mrk421/magic_2026g_fig6_sed_03.ecsv,ecsv,10,MAGIC,MAGIC-stereo,Mrk 421,166.113809,38.208833,3.5,3.1,360,-1,-1,55208.145594,55208.152302,579,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260722,"Michele Doro, michele.doro@unipd.it",https://doi.org/10.1051/0004-6361/202659090,Public
sed,4,MAGIC/DL5,magic_2026g,ivo://magictelescope/dataset?magic/2026g/sed/4,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026g_mrk421/magic_2026g_fig6_sed_04.ecsv,ecsv,10,MAGIC,MAGIC-stereo,Mrk 421,166.113809,38.208833,3.5,3.1,360,-1,-1,55209.169389,55209.249391,6912,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260722,"Michele Doro, michele.doro@unipd.it",https://doi.org/10.1051/0004-6361/202659090,Public
sed,4,MAGIC/DL5,magic_2026g,ivo://magictelescope/dataset?magic/2026g/sed/5,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026g_mrk421/magic_2026g_fig6_sed_05.ecsv,ecsv,10,MAGIC,MAGIC-stereo,Mrk 421,166.113809,38.208833,3.5,3.1,360,-1,-1,55210.180553,55210.250204,6017,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260722,"Michele Doro, michele.doro@unipd.it",https://doi.org/10.1051/0004-6361/202659090,Public
sed,4,MAGIC/DL5,magic_2026g,ivo://magictelescope/dataset?magic/2026g/sed/6,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026g_mrk421/magic_2026g_fig6_sed_06.ecsv,ecsv,10,MAGIC,MAGIC-stereo,Mrk 421,166.113809,38.208833,3.5,3.1,360,-1,-1,55211.148435,55211.240674,7969,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260722,"Michele Doro, michele.doro@unipd.it",https://doi.org/10.1051/0004-6361/202659090,Public
sed,4,MAGIC/DL5,magic_2026g,ivo://magictelescope/dataset?magic/2026g/sed/7,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026g_mrk421/magic_2026g_fig6_sed_07.ecsv,ecsv,10,MAGIC,MAGIC-stereo,Mrk 421,166.113809,38.208833,3.5,3.1,360,-1,-1,55212.170243,55212.250867,6965,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260722,"Michele Doro, michele.doro@unipd.it",https://doi.org/10.1051/0004-6361/202659090,Public
sed,4,MAGIC/DL5,magic_2026g,ivo://magictelescope/dataset?magic/2026g/sed/8,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026g_mrk421/magic_2026g_fig6_sed_08.ecsv,ecsv,10,MAGIC,MAGIC-stereo,Mrk 421,166.113809,38.208833,3.5,3.1,360,-1,-1,55214.145418,55214.243052,8435,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260722,"Michele Doro, michele.doro@unipd.it",https://doi.org/10.1051/0004-6361/202659090,Public
sed,4,MAGIC/DL5,magic_2026g,ivo://magictelescope/dataset?magic/2026g/sed/9,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026g_mrk421/magic_2026g_fig6_sed_09.ecsv,ecsv,10,MAGIC,MAGIC-stereo,Mrk 421,166.113809,38.208833,3.5,3.1,360,-1,-1,55215.143422,55215.242364,8548,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260722,"Michele Doro, michele.doro@unipd.it",https://doi.org/10.1051/0004-6361/202659090,Public
sed,4,MAGIC/DL5,magic_2026g,ivo://magictelescope/dataset?magic/2026g/sed/10,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026g_mrk421/magic_2026g_fig7_sed_10.ecsv,ecsv,10,MAGIC,MAGIC-stereo,Mrk 421,166.113809,38.208833,3.5,3.1,360,-1,-1,55216.138657,55216.241253,8864,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260722,"Michele Doro, michele.doro@unipd.it",https://doi.org/10.1051/0004-6361/202659090,Public
sed,4,MAGIC/DL5,magic_2026g,ivo://magictelescope/dataset?magic/2026g/sed/11,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026g_mrk421/magic_2026g_fig7_sed_11.ecsv,ecsv,10,MAGIC,MAGIC-stereo,Mrk 421,166.113809,38.208833,3.5,3.1,360,-1,-1,55217.146221,55217.244065,8453,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260722,"Michele Doro, michele.doro@unipd.it",https://doi.org/10.1051/0004-6361/202659090,Public
sed,4,MAGIC/DL5,magic_2026g,ivo://magictelescope/dataset?magic/2026g/sed/12,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026g_mrk421/magic_2026g_fig7_sed_12.ecsv,ecsv,10,MAGIC,MAGIC-stereo,Mrk 421,166.113809,38.208833,3.5,3.1,360,-1,-1,55218.287123,55218.29065,304,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260722,"Michele Doro, michele.doro@unipd.it",https://doi.org/10.1051/0004-6361/202659090,Public
sed,4,MAGIC/DL5,magic_2026g,ivo://magictelescope/dataset?magic/2026g/sed/13,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026g_mrk421/magic_2026g_fig7_sed_13.ecsv,ecsv,10,MAGIC,MAGIC-stereo,Mrk 421,166.113809,38.208833,3.5,3.1,360,-1,-1,55219.150526,55219.245183,8178,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260722,"Michele Doro, michele.doro@unipd.it",https://doi.org/10.1051/0004-6361/202659090,Public
sed,4,MAGIC/DL5,magic_2026g,ivo://magictelescope/dataset?magic/2026g/sed/14,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026g_mrk421/magic_2026g_fig7_sed_14.ecsv,ecsv,10,MAGIC,MAGIC-stereo,Mrk 421,166.113809,38.208833,3.5,3.1,360,-1,-1,55220.127049,55220.23692,9492,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260722,"Michele Doro, michele.doro@unipd.it",https://doi.org/10.1051/0004-6361/202659090,Public
sed,4,MAGIC/DL5,magic_2026g,ivo://magictelescope/dataset?magic/2026g/sed/15,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026g_mrk421/magic_2026g_fig7_sed_15.ecsv,ecsv,10,MAGIC,MAGIC-stereo,Mrk 421,166.113809,38.208833,3.5,3.1,360,-1,-1,55221.237073,55221.273319,3131,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260722,"Michele Doro, michele.doro@unipd.it",https://doi.org/10.1051/0004-6361/202659090,Public
sed,4,MAGIC/DL5,magic_2026g,ivo://magictelescope/dataset?magic/2026g/sed/16,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026g_mrk421/magic_2026g_fig7_sed_16.ecsv,ecsv,10,MAGIC,MAGIC-stereo,Mrk 421,166.113809,38.208833,3.5,3.1,360,-1,-1,55222.283795,55222.290478,577,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260722,"Michele Doro, michele.doro@unipd.it",https://doi.org/10.1051/0004-6361/202659090,Public
light-curve,4,MAGIC/DL5,magic_2026g,ivo://magictelescope/dataset?magic/2026g/light-curve/1,https://raw.githubusercontent.com/micheledoro/magic_dl5_portal/refs/heads/main/ecsv/2026g_mrk421/magic_2026g_fig1_lc.ecsv,ecsv,10,MAGIC,MAGIC-stereo,Mrk 421,166.113809,38.208833,3.5,3.1,360,-1,-1,55149.23742039259,55362.920422538264,143829,-1,-1,2E-21,2E-16,10,-1,phot.flux.density,-1,NULL,20260722,"Michele Doro, michele.doro@unipd.it",https://doi.org/10.1051/0004-6361/202659090,Public
